Disease,Prakriti,Dietary Plan
,Vata-Pitta,"Include warm but mild anti-inflammatory foods like turmeric-ginger milk; avoid very heating or very cooling extremes."
,Pitta-Kapha,"Emphasize bitter, astringent, and light anti-inflammatory foods; avoid oily, heavy, sour, or fermented preparations."
,Vata-Kapha,"Take warm, lightly spiced anti-inflammatory broths; include turmeric, ginger, and black pepper; avoid cold or heavy foods."
Liver Disorders,Vata,"Consume warm, light, easily digestible meals with mild spices; include amla and turmeric; avoid dry, cold, or heavy foods."
,Pitta,"Favor cooling, bitter foods like bitter gourd and aloe vera juice; avoid spicy, oily, fermented, and alcohol-based foods."
,Kapha,"Eat light, detoxifying meals with guduchi and turmeric; avoid fatty, fried, sweet, or heavy dairy; drink warm lemon water."
,Vata-Pitta,"Take warm, mild, liver-supportive foods with amla and turmeric; avoid excessively heating, sour, or cold dry foods."
,Pitta-Kapha,"Focus on bitter, light, detoxifying meals; avoid fatty, oily, fermented, or alcohol-based foods; increase vitamin C intake."
,Vata-Kapha,"Eat warm, light, spiced meals with turmeric and ginger; avoid cold, heavy, oily, or mucus-forming foods; drink guduchi water."
Thyroid Disorders,Vata,"Include warm, nourishing, iodine-rich meals; consume ghee, sesame, and ashwagandha; avoid cold, raw, or dry foods."
,Pitta,"Take cooling, iodine-balanced foods; avoid excess iodine, spicy, or fermented foods; include shatavari and coconut."
,Kapha,"Eat light, stimulating meals with black pepper and dry ginger; avoid heavy, cold, or starchy foods; include sea vegetables."
,Vata-Pitta,"Consume warm, balanced, iodine-rich meals with ashwagandha and shatavari; avoid very heating or excessively cold foods."
,Pitta-Kapha,"Focus on light, cooling but stimulating foods; avoid heavy, oily, or excess-iodine foods; include guggulu and amla."
,Vata-Kapha,"Take warm, light, iodine-rich meals with ashwagandha and guggulu; avoid cold, heavy, or mucus-forming dairy and grains."
Irritable Bowel Syndrome (IBS),Vata,"Eat warm, soft, well-cooked meals like khichdi with ghee; avoid raw, cold, gas-producing foods; maintain regular meal timings."
,Pitta,"Consume cooling, soothing foods like tender coconut and coriander; avoid spicy, sour, or acidic preparations; eat at fixed times."
,Kapha,"Take light, warm, well-spiced meals; avoid heavy, oily, or mucus-forming foods; include dry ginger and cumin regularly."
,Vata-Pitta,"Prefer warm, mildly spiced, easily digestible meals; avoid extremes of heating or cooling foods; drink buttermilk with cumin."
,Pitta-Kapha,"Focus on light, cooling, non-oily meals; avoid heavy, fermented, or fried foods; include bitter vegetables and fennel water."
,Vata-Kapha,"Eat warm, light, lightly spiced meals; avoid gas-producing, cold, or heavy foods; include ginger, ajwain, and warm water."
