recommendation_id,user_id,product_id,product_title,category,brand,recommendation_score,recommendation_reason,recommended_at,clicked,purchased
REC00000022,U000002,899608,Cool Glass Ash Tray: Sleek Design For Ashes With Style 10.5 X 10.5 X 3.5 Cm,Serveware,Afast,0.8,Based on your browsing history,2025-12-02 19:10:21,False,False
REC00000023,U000002,134466,Organic Cotton Stretch Chino In Slate Grey- Slim Fit,Trousers,SUBTRACT,0.66,Based on your browsing history,2025-12-02 11:10:21,True,False
REC00000024,U000002,41030,Roasted & Lightly Salted California Pistachio - 250gm,Snack Time,Ambrosia,0.82,Similar to your past purchases,2025-12-03 01:10:21,True,True
REC00000025,U000002,949860,"Celebrate Special Times With Party Perfect Whisky Glasses! Cheers To Fun Moments, Clear, Capacity - 250 Ml, Pack Of 11, Size - 8.5 X 8.5 X 9.5 Cm",Bar Necessities,Afast,0.81,Based on your browsing history,2025-12-01 04:10:21,False,False
REC00000026,U000002,1012775,Lifestyle Shri Shivay Namastubhayam Wall Hanging For Home Decoration Wall Decor Items (multicolor ),Wall Accents,PRAKRITI,0.84,Similar to your past purchases,2025-12-02 10:10:21,False,False
REC00000027,U000003,950618,"Beautiful Wine Glasses For Memorable Moments, 150 Ml, Capacity, Pack Of 12, Size: 16.5 X 8 X 8 Cm",Bar Necessities,Afast,0.78,Popular in your area,2025-12-01 06:10:21,False,False
REC00000028,U000003,428848,Men's Pink Heathered Korean Oversized Shirt,Casuals,Campus Sutra,0.71,Price drop alert,2025-12-02 18:10:21,False,False
REC00000029,U000003,496872,Lavender & Red Cotton Round Neck Half Sleeve Printed Oversized T-shirt - Pack Of 2,Oversized Tees,BULLMER,0.74,Based on your browsing history,2025-12-01 09:10:21,False,False
REC00000030,U000003,134466,Organic Cotton Stretch Chino In Slate Grey- Slim Fit,Trousers,SUBTRACT,0.78,Price drop alert,2025-11-30 19:10:21,True,False
REC00000031,U000003,428848,Men's Pink Heathered Korean Oversized Shirt,Casuals,Campus Sutra,0.93,Trending now,2025-12-02 14:10:21,False,False
REC00000032,U000003,899608,Cool Glass Ash Tray: Sleek Design For Ashes With Style 10.5 X 10.5 X 3.5 Cm,Serveware,Afast,0.78,Similar to your past purchases,2025-12-01 08:10:21,False,False
REC00000033,U000003,896118,Men's Waffle Polo Plain Maroon T-shirt With Plain Waffle Maroon Shorts Co-ords,Co-ord Sets,TRIPR,0.73,Price drop alert,2025-12-01 13:10:21,True,False
REC00000034,U000003,717137,Grey Colorblocked Gym Vest For Men,Innerwear,TRIPR,0.68,Popular in your area,2025-12-02 16:10:21,False,False
REC00000035,U000003,949854,"Timeless Glass Designs For Every Occasion, 270 Ml, Capacity, Pack Of 12, Size: 7 X 7 X 10 Cm",Bar Necessities,Afast,0.94,Similar to your past purchases,2025-12-01 17:10:21,False,False
REC00000036,U000003,899607,"Cool Glass Ash Tray: Sleek Design For Ashes With Style 13 X 13 X 3.5 Cm, Pack Of 4",Serveware,Afast,0.66,Based on your browsing history,2025-11-30 19:10:21,False,False
REC00000037,U000003,1053640,"Bring Your Own Mug Illustration Printed Ceramic Coffee Mug 350 Ml, White 9.5 X 7.5 X 1 Cm",Dinnerware,Ethnic Darzi,0.97,Within your popCoin balance,2025-12-01 12:10:21,True,False
REC00000038,U000003,612530,"Reed Diffuser Set Elite-essence Fragrance 120ml Glass Bottle, Aromatic Diffuser, Gift Set With 5 Black Fiber Sticks",Diffusers,Global Aroma,0.73,Popular in your area,2025-12-01 15:10:21,False,False
REC00000039,U000003,948892,"Party Perfect Handle Beer Glasses & Mugs: Making Every Moment, Transparent, Clear, Size -13.5 X 12.5 X 9.5 Cm, Pack Of 5, Capacity - 550 Ml",Bar Necessities,Afast,0.61,Popular in your area,2025-12-01 15:10:21,True,False
REC00000040,U000003,1040453,Men Anya Forger Blue Oversized Graphic T-shirt,Oversized Tees,Crazymonk,0.87,Popular in your area,2025-12-01 13:10:21,True,False
REC00000041,U000003,899608,Cool Glass Ash Tray: Sleek Design For Ashes With Style 10.5 X 10.5 X 3.5 Cm,Serveware,Afast,0.72,Popular in your area,2025-12-03 00:10:21,False,False
REC00000042,U000004,1044302,"Eau De Parfum - Eclipse, 100ml",Luxe Perfumes,Aris,0.84,Price drop alert,2025-12-03 12:10:21,True,True
REC00000043,U000004,134472,Organic Cotton Stretch Chino In Beige- Slim Fit,Trousers,SUBTRACT,0.61,Based on your browsing history,2025-12-01 22:10:21,True,False
REC00000044,U000004,896118,Men's Waffle Polo Plain Maroon T-shirt With Plain Waffle Maroon Shorts Co-ords,Co-ord Sets,TRIPR,0.68,Popular in your area,2025-12-02 13:10:21,False,True
REC00000045,U000004,896118,Men's Waffle Polo Plain Maroon T-shirt With Plain Waffle Maroon Shorts Co-ords,Co-ord Sets,TRIPR,0.84,Trending now,2025-12-01 07:10:21,False,False
REC00000046,U000004,1038399,Women's Yellow Rayon Blend Bandhani Embroidered Anarkali Kurta Trouser With Dupatta,The Perfect Sets,AHIKA,0.67,Trending now,2025-12-03 04:10:21,True,False
REC00000047,U000004,496872,Lavender & Red Cotton Round Neck Half Sleeve Printed Oversized T-shirt - Pack Of 2,Oversized Tees,BULLMER,0.76,Within your popCoin balance,2025-12-01 12:10:21,True,False
REC00000048,U000004,1038399,Women's Yellow Rayon Blend Bandhani Embroidered Anarkali Kurta Trouser With Dupatta,The Perfect Sets,AHIKA,0.98,Price drop alert,2025-12-02 09:10:21,True,False
REC00000049,U000004,948892,"Party Perfect Handle Beer Glasses & Mugs: Making Every Moment, Transparent, Clear, Size -13.5 X 12.5 X 9.5 Cm, Pack Of 5, Capacity - 550 Ml",Bar Necessities,Afast,0.64,Based on your browsing history,2025-12-02 23:10:21,False,False
REC00000050,U000004,899607,"Cool Glass Ash Tray: Sleek Design For Ashes With Style 13 X 13 X 3.5 Cm, Pack Of 4",Serveware,Afast,0.79,Based on your browsing history,2025-12-01 18:10:21,False,False
REC00000051,U000004,948892,"Party Perfect Handle Beer Glasses & Mugs: Making Every Moment, Transparent, Clear, Size -13.5 X 12.5 X 9.5 Cm, Pack Of 5, Capacity - 550 Ml",Bar Necessities,Afast,0.95,Similar to your past purchases,2025-12-01 20:10:21,False,True
REC00000052,U000004,896118,Men's Waffle Polo Plain Maroon T-shirt With Plain Waffle Maroon Shorts Co-ords,Co-ord Sets,TRIPR,0.63,Popular in your area,2025-12-02 02:10:21,False,False
REC00000053,U000004,243944,Men Originals White Block Collar Neck Printed T-shirts,Polos,The Souled Store,0.99,Price drop alert,2025-12-02 15:10:21,False,False
REC00000054,U000004,1038399,Women's Yellow Rayon Blend Bandhani Embroidered Anarkali Kurta Trouser With Dupatta,The Perfect Sets,AHIKA,0.91,Based on your browsing history,2025-12-01 19:10:21,False,True
REC00000055,U000004,950140,"Timeless Glass Designs For Every Occasion, 200 Ml, Capacity, Pack Of 12, Size: 12 X 6.5 X 6.5 Cm",Bar Necessities,Afast,0.95,Similar to your past purchases,2025-12-02 19:10:21,False,False
REC00000056,U000004,612530,"Reed Diffuser Set Elite-essence Fragrance 120ml Glass Bottle, Aromatic Diffuser, Gift Set With 5 Black Fiber Sticks",Diffusers,Global Aroma,0.8,Within your popCoin balance,2025-12-03 13:10:21,False,False
REC00000057,U000004,496872,Lavender & Red Cotton Round Neck Half Sleeve Printed Oversized T-shirt - Pack Of 2,Oversized Tees,BULLMER,0.62,Popular in your area,2025-12-02 01:10:21,False,False
REC00000058,U000004,899608,Cool Glass Ash Tray: Sleek Design For Ashes With Style 10.5 X 10.5 X 3.5 Cm,Serveware,Afast,0.73,Trending now,2025-12-01 06:10:21,True,False
REC00000059,U000004,949854,"Timeless Glass Designs For Every Occasion, 270 Ml, Capacity, Pack Of 12, Size: 7 X 7 X 10 Cm",Bar Necessities,Afast,0.61,Within your popCoin balance,2025-12-03 15:10:21,True,False
REC00000060,U000004,899607,"Cool Glass Ash Tray: Sleek Design For Ashes With Style 13 X 13 X 3.5 Cm, Pack Of 4",Serveware,Afast,0.68,Similar to your past purchases,2025-12-01 16:10:21,False,True
REC00000061,U000005,787062,Womens Boxy Regular Embroidery Crew Neck Tshirt,Tees,DILLINGER,0.87,Trending now,2025-12-01 18:10:21,False,False
REC00000062,U000005,1038399,Women's Yellow Rayon Blend Bandhani Embroidered Anarkali Kurta Trouser With Dupatta,The Perfect Sets,AHIKA,0.73,Trending now,2025-12-02 07:10:21,True,False
REC00000063,U000005,792468,Auto Sight Wi-fi Dash Camera - Grey,Security,Gizmore,0.7,Similar to your past purchases,2025-12-03 06:10:21,False,True
REC00000064,U000005,41030,Roasted & Lightly Salted California Pistachio - 250gm,Snack Time,Ambrosia,0.92,Based on your browsing history,2025-12-02 09:10:21,True,False
REC00000065,U000005,896118,Men's Waffle Polo Plain Maroon T-shirt With Plain Waffle Maroon Shorts Co-ords,Co-ord Sets,TRIPR,0.63,Within your popCoin balance,2025-12-02 10:10:21,True,True
REC00000066,U000005,41030,Roasted & Lightly Salted California Pistachio - 250gm,Snack Time,Ambrosia,0.88,Price drop alert,2025-12-01 21:10:21,True,False
REC00000067,U000005,949860,"Celebrate Special Times With Party Perfect Whisky Glasses! Cheers To Fun Moments, Clear, Capacity - 250 Ml, Pack Of 11, Size - 8.5 X 8.5 X 9.5 Cm",Bar Necessities,Afast,0.84,Similar to your past purchases,2025-12-01 22:10:21,True,True
REC00000068,U000005,134466,Organic Cotton Stretch Chino In Slate Grey- Slim Fit,Trousers,SUBTRACT,0.87,Popular in your area,2025-12-03 06:10:21,True,True
REC00000069,U000005,1038399,Women's Yellow Rayon Blend Bandhani Embroidered Anarkali Kurta Trouser With Dupatta,The Perfect Sets,AHIKA,0.97,Based on your browsing history,2025-12-01 09:10:21,True,False
REC00000070,U000005,134466,Organic Cotton Stretch Chino In Slate Grey- Slim Fit,Trousers,SUBTRACT,0.88,Similar to your past purchases,2025-12-01 23:10:21,True,False
REC00000071,U000005,1053640,"Bring Your Own Mug Illustration Printed Ceramic Coffee Mug 350 Ml, White 9.5 X 7.5 X 1 Cm",Dinnerware,Ethnic Darzi,0.68,Similar to your past purchases,2025-12-02 17:10:21,False,False
REC00000072,U000005,1040453,Men Anya Forger Blue Oversized Graphic T-shirt,Oversized Tees,Crazymonk,0.86,Based on your browsing history,2025-12-01 08:10:21,True,True
REC00000073,U000005,134472,Organic Cotton Stretch Chino In Beige- Slim Fit,Trousers,SUBTRACT,0.67,Popular in your area,2025-12-02 07:10:21,True,False
REC00000074,U000005,1038399,Women's Yellow Rayon Blend Bandhani Embroidered Anarkali Kurta Trouser With Dupatta,The Perfect Sets,AHIKA,0.65,Based on your browsing history,2025-12-02 16:10:21,True,False
REC00000075,U000005,1044302,"Eau De Parfum - Eclipse, 100ml",Luxe Perfumes,Aris,0.99,Popular in your area,2025-12-01 14:10:21,False,False
REC00000076,U000005,949038,"Timeless Glass Designs For Every Occasion, 300 Ml, Capacity, Pack Of 9, Size: 14 X 7.5 X 7.5 Cm",Bar Necessities,Afast,0.85,Popular in your area,2025-12-01 10:10:21,False,False
REC00000077,U000005,1040453,Men Anya Forger Blue Oversized Graphic T-shirt,Oversized Tees,Crazymonk,0.69,Based on your browsing history,2025-12-02 08:10:21,False,False
REC00000078,U000005,134472,Organic Cotton Stretch Chino In Beige- Slim Fit,Trousers,SUBTRACT,0.62,Similar to your past purchases,2025-12-01 20:10:21,True,False
REC00000079,U000005,134472,Organic Cotton Stretch Chino In Beige- Slim Fit,Trousers,SUBTRACT,0.86,Price drop alert,2025-12-01 07:10:21,True,True
REC00000080,U000005,818766,Women's Blue Don't Talk To Me Graphic Printed Relaxed Fit T-shirt,Graphic Tees,Bewakoof,0.83,Trending now,2025-12-03 08:10:21,False,False
REC00000081,U000006,896118,Men's Waffle Polo Plain Maroon T-shirt With Plain Waffle Maroon Shorts Co-ords,Co-ord Sets,TRIPR,0.89,Similar to your past purchases,2025-12-01 17:10:21,False,False
REC00000082,U000006,1044302,"Eau De Parfum - Eclipse, 100ml",Luxe Perfumes,Aris,0.79,Within your popCoin balance,2025-12-02 16:10:21,True,False
REC00000083,U000006,134466,Organic Cotton Stretch Chino In Slate Grey- Slim Fit,Trousers,SUBTRACT,0.87,Similar to your past purchases,2025-12-01 05:10:21,False,False
REC00000084,U000006,1053248,Unisex Off White Captain America Embroidered Baseball Cap,Caps,Bewakoof,0.93,Similar to your past purchases,2025-12-01 05:10:21,False,False
REC00000085,U000006,428848,Men's Pink Heathered Korean Oversized Shirt,Casuals,Campus Sutra,0.66,Similar to your past purchases,2025-12-01 11:10:21,True,False
REC00000086,U000006,1053248,Unisex Off White Captain America Embroidered Baseball Cap,Caps,Bewakoof,0.72,Price drop alert,2025-12-02 21:10:21,False,False
REC00000087,U000006,41030,Roasted & Lightly Salted California Pistachio - 250gm,Snack Time,Ambrosia,0.77,Price drop alert,2025-12-02 18:10:21,True,False
REC00000088,U000006,612530,"Reed Diffuser Set Elite-essence Fragrance 120ml Glass Bottle, Aromatic Diffuser, Gift Set With 5 Black Fiber Sticks",Diffusers,Global Aroma,0.64,Similar to your past purchases,2025-12-01 04:10:21,True,False
REC00000089,U000006,818766,Women's Blue Don't Talk To Me Graphic Printed Relaxed Fit T-shirt,Graphic Tees,Bewakoof,0.68,Similar to your past purchases,2025-12-01 14:10:21,True,False
REC00000090,U000006,1053640,"Bring Your Own Mug Illustration Printed Ceramic Coffee Mug 350 Ml, White 9.5 X 7.5 X 1 Cm",Dinnerware,Ethnic Darzi,0.97,Within your popCoin balance,2025-12-02 05:10:21,True,False
REC00000091,U000006,949012,"Timeless Glass Designs For Every Occasion, 350 Ml, Capacity, Pack Of 6, Size: 12 X 7 X 7 Cm",Bar Necessities,Afast,0.84,Similar to your past purchases,2025-12-01 09:10:21,False,False
REC00000092,U000006,949012,"Timeless Glass Designs For Every Occasion, 350 Ml, Capacity, Pack Of 6, Size: 12 X 7 X 7 Cm",Bar Necessities,Afast,0.98,Based on your browsing history,2025-12-01 19:10:21,True,True
REC00000093,U000006,818766,Women's Blue Don't Talk To Me Graphic Printed Relaxed Fit T-shirt,Graphic Tees,Bewakoof,0.88,Within your popCoin balance,2025-12-02 03:10:21,True,False
REC00000094,U000006,949038,"Timeless Glass Designs For Every Occasion, 300 Ml, Capacity, Pack Of 9, Size: 14 X 7.5 X 7.5 Cm",Bar Necessities,Afast,0.97,Popular in your area,2025-12-01 11:10:21,False,True
REC00000095,U000006,792468,Auto Sight Wi-fi Dash Camera - Grey,Security,Gizmore,0.85,Trending now,2025-12-02 01:10:21,False,True
REC00000096,U000006,950140,"Timeless Glass Designs For Every Occasion, 200 Ml, Capacity, Pack Of 12, Size: 12 X 6.5 X 6.5 Cm",Bar Necessities,Afast,0.65,Trending now,2025-12-01 21:10:21,False,False
REC00000097,U000006,896118,Men's Waffle Polo Plain Maroon T-shirt With Plain Waffle Maroon Shorts Co-ords,Co-ord Sets,TRIPR,0.82,Similar to your past purchases,2025-12-03 08:10:21,True,False
REC00000098,U000007,899608,Cool Glass Ash Tray: Sleek Design For Ashes With Style 10.5 X 10.5 X 3.5 Cm,Serveware,Afast,0.7,Trending now,2025-12-02 11:10:21,False,False
REC00000099,U000007,1053248,Unisex Off White Captain America Embroidered Baseball Cap,Caps,Bewakoof,0.71,Trending now,2025-12-01 22:10:21,True,False
REC00000100,U000007,818766,Women's Blue Don't Talk To Me Graphic Printed Relaxed Fit T-shirt,Graphic Tees,Bewakoof,0.9,Within your popCoin balance,2025-12-02 11:10:21,True,False
REC00000101,U000007,949012,"Timeless Glass Designs For Every Occasion, 350 Ml, Capacity, Pack Of 6, Size: 12 X 7 X 7 Cm",Bar Necessities,Afast,0.82,Based on your browsing history,2025-12-02 00:10:21,True,False
REC00000102,U000007,1044302,"Eau De Parfum - Eclipse, 100ml",Luxe Perfumes,Aris,0.66,Trending now,2025-12-03 06:10:21,False,False
REC00000103,U000007,950140,"Timeless Glass Designs For Every Occasion, 200 Ml, Capacity, Pack Of 12, Size: 12 X 6.5 X 6.5 Cm",Bar Necessities,Afast,0.95,Price drop alert,2025-12-02 06:10:21,True,False
REC00000104,U000007,899607,"Cool Glass Ash Tray: Sleek Design For Ashes With Style 13 X 13 X 3.5 Cm, Pack Of 4",Serveware,Afast,0.9,Trending now,2025-12-02 22:10:21,False,True
REC00000105,U000007,949012,"Timeless Glass Designs For Every Occasion, 350 Ml, Capacity, Pack Of 6, Size: 12 X 7 X 7 Cm",Bar Necessities,Afast,0.7,Price drop alert,2025-12-03 16:10:21,False,False
REC00000106,U000007,1053640,"Bring Your Own Mug Illustration Printed Ceramic Coffee Mug 350 Ml, White 9.5 X 7.5 X 1 Cm",Dinnerware,Ethnic Darzi,0.84,Within your popCoin balance,2025-12-02 22:10:21,False,False
REC00000107,U000007,949012,"Timeless Glass Designs For Every Occasion, 350 Ml, Capacity, Pack Of 6, Size: 12 X 7 X 7 Cm",Bar Necessities,Afast,0.98,Within your popCoin balance,2025-11-30 20:10:21,True,False
REC00000108,U000007,950140,"Timeless Glass Designs For Every Occasion, 200 Ml, Capacity, Pack Of 12, Size: 12 X 6.5 X 6.5 Cm",Bar Necessities,Afast,0.84,Trending now,2025-12-03 09:10:21,True,False
REC00000109,U000007,717137,Grey Colorblocked Gym Vest For Men,Innerwear,TRIPR,0.91,Similar to your past purchases,2025-12-03 15:10:21,False,False
REC00000110,U000007,612530,"Reed Diffuser Set Elite-essence Fragrance 120ml Glass Bottle, Aromatic Diffuser, Gift Set With 5 Black Fiber Sticks",Diffusers,Global Aroma,0.66,Based on your browsing history,2025-12-03 13:10:21,False,True
REC00000111,U000007,896118,Men's Waffle Polo Plain Maroon T-shirt With Plain Waffle Maroon Shorts Co-ords,Co-ord Sets,TRIPR,0.78,Popular in your area,2025-12-01 07:10:21,False,False
REC00000112,U000007,950140,"Timeless Glass Designs For Every Occasion, 200 Ml, Capacity, Pack Of 12, Size: 12 X 6.5 X 6.5 Cm",Bar Necessities,Afast,0.77,Trending now,2025-12-03 03:10:21,False,False
REC00000113,U000008,612530,"Reed Diffuser Set Elite-essence Fragrance 120ml Glass Bottle, Aromatic Diffuser, Gift Set With 5 Black Fiber Sticks",Diffusers,Global Aroma,0.88,Similar to your past purchases,2025-12-02 04:10:21,True,False
REC00000114,U000008,818766,Women's Blue Don't Talk To Me Graphic Printed Relaxed Fit T-shirt,Graphic Tees,Bewakoof,0.97,Based on your browsing history,2025-12-03 10:10:21,False,False
REC00000115,U000008,896118,Men's Waffle Polo Plain Maroon T-shirt With Plain Waffle Maroon Shorts Co-ords,Co-ord Sets,TRIPR,0.66,Price drop alert,2025-12-01 16:10:21,True,False
REC00000116,U000008,950618,"Beautiful Wine Glasses For Memorable Moments, 150 Ml, Capacity, Pack Of 12, Size: 16.5 X 8 X 8 Cm",Bar Necessities,Afast,0.73,Popular in your area,2025-12-01 23:10:21,True,False
REC00000117,U000008,818766,Women's Blue Don't Talk To Me Graphic Printed Relaxed Fit T-shirt,Graphic Tees,Bewakoof,0.82,Within your popCoin balance,2025-12-03 11:10:21,True,False
REC00000118,U000008,949012,"Timeless Glass Designs For Every Occasion, 350 Ml, Capacity, Pack Of 6, Size: 12 X 7 X 7 Cm",Bar Necessities,Afast,0.62,Based on your browsing history,2025-12-02 23:10:21,True,True
REC00000119,U000008,949038,"Timeless Glass Designs For Every Occasion, 300 Ml, Capacity, Pack Of 9, Size: 14 X 7.5 X 7.5 Cm",Bar Necessities,Afast,0.66,Price drop alert,2025-12-02 10:10:21,True,False
REC00000120,U000008,896118,Men's Waffle Polo Plain Maroon T-shirt With Plain Waffle Maroon Shorts Co-ords,Co-ord Sets,TRIPR,0.73,Similar to your past purchases,2025-12-01 21:10:21,True,False
REC00000121,U000008,899607,"Cool Glass Ash Tray: Sleek Design For Ashes With Style 13 X 13 X 3.5 Cm, Pack Of 4",Serveware,Afast,0.81,Within your popCoin balance,2025-12-01 11:10:21,False,False
REC00000122,U000008,949854,"Timeless Glass Designs For Every Occasion, 270 Ml, Capacity, Pack Of 12, Size: 7 X 7 X 10 Cm",Bar Necessities,Afast,0.92,Popular in your area,2025-12-01 07:10:21,True,True
REC00000123,U000008,1044302,"Eau De Parfum - Eclipse, 100ml",Luxe Perfumes,Aris,0.96,Trending now,2025-12-02 11:10:21,True,True
REC00000124,U000008,950618,"Beautiful Wine Glasses For Memorable Moments, 150 Ml, Capacity, Pack Of 12, Size: 16.5 X 8 X 8 Cm",Bar Necessities,Afast,0.87,Based on your browsing history,2025-12-03 10:10:21,True,False
REC00000125,U000008,134466,Organic Cotton Stretch Chino In Slate Grey- Slim Fit,Trousers,SUBTRACT,0.62,Popular in your area,2025-12-02 21:10:21,True,False
REC00000126,U000008,818766,Women's Blue Don't Talk To Me Graphic Printed Relaxed Fit T-shirt,Graphic Tees,Bewakoof,0.75,Price drop alert,2025-12-01 14:10:21,True,False
REC00000127,U000009,41030,Roasted & Lightly Salted California Pistachio - 250gm,Snack Time,Ambrosia,0.86,Price drop alert,2025-12-01 11:10:21,True,True
REC00000128,U000009,612530,"Reed Diffuser Set Elite-essence Fragrance 120ml Glass Bottle, Aromatic Diffuser, Gift Set With 5 Black Fiber Sticks",Diffusers,Global Aroma,0.83,Popular in your area,2025-12-02 11:10:21,False,True
REC00000129,U000009,896118,Men's Waffle Polo Plain Maroon T-shirt With Plain Waffle Maroon Shorts Co-ords,Co-ord Sets,TRIPR,0.87,Within your popCoin balance,2025-12-01 17:10:21,True,False
REC00000130,U000009,612530,"Reed Diffuser Set Elite-essence Fragrance 120ml Glass Bottle, Aromatic Diffuser, Gift Set With 5 Black Fiber Sticks",Diffusers,Global Aroma,0.66,Based on your browsing history,2025-12-02 04:10:21,False,False
REC00000131,U000009,949038,"Timeless Glass Designs For Every Occasion, 300 Ml, Capacity, Pack Of 9, Size: 14 X 7.5 X 7.5 Cm",Bar Necessities,Afast,0.75,Popular in your area,2025-12-02 08:10:21,False,False
REC00000132,U000009,818766,Women's Blue Don't Talk To Me Graphic Printed Relaxed Fit T-shirt,Graphic Tees,Bewakoof,0.95,Similar to your past purchases,2025-12-03 01:10:21,False,False
REC00000133,U000009,41030,Roasted & Lightly Salted California Pistachio - 250gm,Snack Time,Ambrosia,0.77,Price drop alert,2025-11-30 23:10:21,False,False
REC00000134,U000009,496872,Lavender & Red Cotton Round Neck Half Sleeve Printed Oversized T-shirt - Pack Of 2,Oversized Tees,BULLMER,0.64,Similar to your past purchases,2025-12-03 03:10:21,True,False
REC00000135,U000009,1044302,"Eau De Parfum - Eclipse, 100ml",Luxe Perfumes,Aris,0.82,Price drop alert,2025-12-02 02:10:21,True,False
REC00000136,U000009,896118,Men's Waffle Polo Plain Maroon T-shirt With Plain Waffle Maroon Shorts Co-ords,Co-ord Sets,TRIPR,0.78,Price drop alert,2025-12-02 11:10:21,False,False
REC00000137,U000009,949038,"Timeless Glass Designs For Every Occasion, 300 Ml, Capacity, Pack Of 9, Size: 14 X 7.5 X 7.5 Cm",Bar Necessities,Afast,0.61,Based on your browsing history,2025-12-02 13:10:21,True,False
REC00000138,U000009,612530,"Reed Diffuser Set Elite-essence Fragrance 120ml Glass Bottle, Aromatic Diffuser, Gift Set With 5 Black Fiber Sticks",Diffusers,Global Aroma,0.79,Price drop alert,2025-12-01 15:10:21,False,False
REC00000139,U000009,899607,"Cool Glass Ash Tray: Sleek Design For Ashes With Style 13 X 13 X 3.5 Cm, Pack Of 4",Serveware,Afast,0.83,Popular in your area,2025-12-01 02:10:21,False,False
REC00000140,U000009,1053248,Unisex Off White Captain America Embroidered Baseball Cap,Caps,Bewakoof,0.98,Popular in your area,2025-12-03 07:10:21,True,True
